token,score
unsupervised,0.005049596462009981
framework,0.006505570394824103
is,0.008844026931200101
usedto,0.00809767928759391
jointly,0.01097318331844498
compute,0.003932768914862581
the,0.0035051069291812172
likelihood,0.004304282514044292
of,0.0039478611460104516
the,0.0031453356824910884
value,0.005847191312197481
of,0.00470157681215367
the,0.0031473686652261027
best,0.004936804329478709
exhibit,0.011116900540966975
to,0.0041184723227855055
be,0.0035493813910161417
produced.,0.00560230208425102
The,0.0572107866828838
experiments,0.05210456098878267
showthat,0.0797616722598896
models,0.05479822496909123
produced,0.06247747263723261
by,0.07229403178216322
supervised,0.057648550508105155
methods,0.057517353628696026
improve,0.1227192823511186
user,0.04274099509729746
performance,0.05455120391339522
inselecting,0.06627422467236531
exhibits,0.060560734978497205
over,0.1636640693008795
unsupervised,0.04512138624286425
methods.,0.054422460137068585
This,0.291254174846767
paper,0.19416440402239168
presentsa,0.24503772091024742
user-centric,0.12085137528779176
perspective,0.15888599474462908
on,0.10203355044295678
the,0.07903717279752288
property,0.1121825230417504
of,0.12279107577926744
"location,",0.11540043854657575
focusing,0.15434723561321453
on,0.15508811649080775
some,0.18237155811614333
relevant,0.09981846009682857
factors,0.09091192680452635
in,0.2974738541667204
deciding,0.0074767740335916644
which,0.004424509349171458
exhibit,0.010420990526138242
a,0.004310910121418974
user,0.010167550524435645
intends,0.00829433919052117
to,0.006190099594650111
visit.,0.004932539660068148
We,0.033434916389623114
exploit,0.010063958214444776
variation,0.005108673386292264
and,0.0062710808519997165
infrequency,0.004174159260112886
in,0.007534459894027464
data,0.005935603993442176
from,0.006093700785679712
the,0.005675771421376427
Victoria/Ausland,0.017009142585379677
Courtyard,0.0034231048552629878
(VCA),0.0037086213870853348
Collection.,0.007084029824127506
We,0.4968024732297165
make,0.3604712748520544
three,0.40502238305109844
contributions:,0.4944221794873106
(1),0.6710587565158171
Our,0.6103153137632829
experimental,0.6908937545922198
system,0.6407444771440519
provides,0.7655442009344248
empirical,0.6450630933449233
evidence,0.7584462876672516
for,0.5434199572454775
the,0.4520310204782029
effectiveness,0.7358671865219232
ofsupervised,1.0
learning,0.8125892752616893
techniques,0.772520810716927
in,0.9517108597082817
predicting,0.6478469894465783
a,0.6344515800174976
user’s,0.5489434977722996
audience,0.7342124772850076
behavior;,0.66134792627043
(2),0.7885376916743554
Our,0.6942788741923827
structure,0.6112871335515451
basedmethod,0.7817068253940787
allows,0.7952854326805999
unsupervised,0.6122303888415501
learning,0.7338210538234193
to,0.520264564316254
be,0.46152054536212295
applied,0.5189619087093293
to,0.46054458763049355
multiple,0.34735779183821486
sets,0.354712308962744
of,0.28907840000819895
related,0.37149298476001097
information.,0.3792906688998096
(3),0.5310037601353558
Our,0.518896068889347
experimental,0.34492087791246734
system,0.3203018545954585
uses,0.4636316698226525
unsupervised,0.2976569199025509
model,0.32375566125000443
adaptation,0.3975153560001764
in,0.27178073991197477
a,0.28077776217921857
supervised,0.2458987465441779
setting.,0.29305779472667853
